Question,ifwrong_practice skill,exercise to practice (card)
1,Zählen,"""1,2"""
2,Zählen,"""1,2"""
3,Zählen,"""3,4"""
4,Zählen,"""3,4"""
5,Zählen,"""3,4"""
6,Zählen,"""3,4"""
7,Zählen,"""4,5"""
8,Zählen,"""4,5"""
9,Zählen,"""4,5"""
10,Zählen,"""4,5"""
11,Zählen,"""6,7,8,9"""
12,Zählen,"""6,7,8,9"""
13,Zählen,"""6,7,8,9"""
14,Zählen,"""6,7,8,9"""
15,Zählen,"""2,10"""
16,Zählen,"""3,11"""
17,Zahlzerlegung / Schnelles Sehen,"""1,2,5,6,7"""
18,Zahlzerlegung / Schnelles Sehen,"""3,7"""
19,Zahlzerlegung / Schnelles Sehen,"""3,7"""
20,Zahlzerlegung / Schnelles Sehen,"""3,7"""
21,Zahlzerlegung / Schnelles Sehen,"""4,8"""
22,Zahlzerlegung / Schnelles Sehen,"""4,8"""
23,Zahlzerlegung / Schnelles Sehen,"""4,8"""
24,Zahlzerlegung / Schnelles Sehen,"""6"""
25,Zahlzerlegung / Schnelles Sehen,"""6"""
26,Zahlzerlegung / Schnelles Sehen,"""6"""
27,Zahlzerlegung / Schnelles Sehen,"""6"""
28,Zahlzerlegung / Schnelles Sehen,"""9,10,11,12"""
29,Zahlzerlegung / Schnelles Sehen,"""9,10,11,12"""
30,Zahlzerlegung / Schnelles Sehen,"""9,10,11,12"""
31,Zahlzerlegung / Schnelles Sehen,"""9,10,11,12"""
32,Stellenwerte verstehen / Zahlen lesen und schreiben,"""2,4,5,6"""
33,Stellenwerte verstehen / Zahlen lesen und schreiben,"""3,4,6"""
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
